idx	label	predict	radius	correct	time
108	tensor([9])	9	0.616	1	0:00:00.101567
109	tensor([4])	4	0.616	1	0:00:00.101992
110	tensor([8])	8	0.616	1	0:00:00.102544
111	tensor([7])	7	0.616	1	0:00:00.100260
112	tensor([3])	3	0.616	1	0:00:00.100392
113	tensor([9])	9	0.616	1	0:00:00.101348
114	tensor([7])	7	0.284	1	0:00:00.101553
115	tensor([4])	8	0.186	0	0:00:00.102189
116	tensor([4])	4	0.616	1	0:00:00.100597
117	tensor([4])	4	0.616	1	0:00:00.101801
118	tensor([9])	9	0.524	1	0:00:00.101138
119	tensor([2])	8	0.445	0	0:00:00.101347
120	tensor([5])	8	0.268	0	0:00:00.102618
121	tensor([4])	4	0.616	1	0:00:00.100207
122	tensor([7])	7	0.299	1	0:00:00.100812
123	tensor([6])	6	0.256	1	0:00:00.141001
124	tensor([7])	7	0.211	1	0:00:00.153976
125	tensor([9])	-1	0.0	0	0:00:00.134619
126	tensor([0])	0	0.313	1	0:00:00.154428
127	tensor([5])	5	0.301	1	0:00:00.138522
128	tensor([8])	8	0.616	1	0:00:00.136004
129	tensor([5])	5	0.00861	1	0:00:00.154593
130	tensor([6])	8	0.38	0	0:00:00.150179
131	tensor([6])	6	0.423	1	0:00:00.135711
132	tensor([5])	5	0.616	1	0:00:00.140634
133	tensor([7])	7	0.616	1	0:00:00.138128
134	tensor([8])	8	0.616	1	0:00:00.138622
135	tensor([1])	1	0.616	1	0:00:00.136725
136	tensor([0])	8	0.279	0	0:00:00.123561
137	tensor([1])	8	0.239	0	0:00:00.101144
138	tensor([6])	6	0.616	1	0:00:00.101813
139	tensor([4])	4	0.236	1	0:00:00.099498
140	tensor([6])	6	0.616	1	0:00:00.101028
141	tensor([7])	7	0.616	1	0:00:00.102613
142	tensor([3])	3	0.101	1	0:00:00.102665
143	tensor([1])	0	0.0593	0	0:00:00.100575
144	tensor([7])	-1	0.0	0	0:00:00.100339
145	tensor([1])	8	0.338	0	0:00:00.100659
146	tensor([8])	8	0.524	1	0:00:00.100296
147	tensor([2])	2	0.373	1	0:00:00.100704
148	tensor([0])	0	0.35	1	0:00:00.100827
149	tensor([2])	8	0.413	0	0:00:00.101427
150	tensor([9])	9	0.616	1	0:00:00.101702
151	tensor([9])	8	0.346	0	0:00:00.100312
152	tensor([5])	5	0.156	1	0:00:00.104229
153	tensor([5])	5	0.616	1	0:00:00.100071
154	tensor([1])	1	0.616	1	0:00:00.101189
155	tensor([5])	5	0.126	1	0:00:00.101864
156	tensor([6])	6	0.616	1	0:00:00.100576
157	tensor([0])	0	0.398	1	0:00:00.103381
158	tensor([3])	8	0.396	0	0:00:00.100995
159	tensor([4])	8	0.508	0	0:00:00.100421
160	tensor([4])	4	0.472	1	0:00:00.101045
161	tensor([6])	6	0.616	1	0:00:00.101895
162	tensor([5])	5	0.616	1	0:00:00.101514
163	tensor([4])	4	0.616	1	0:00:00.100581
164	tensor([6])	6	0.106	1	0:00:00.101527
165	tensor([5])	5	0.571	1	0:00:00.102359
166	tensor([4])	4	0.333	1	0:00:00.137382
167	tensor([5])	-1	0.0	0	0:00:00.143135
168	tensor([1])	1	0.119	1	0:00:00.141113
169	tensor([4])	4	0.544	1	0:00:00.141565
170	tensor([4])	4	0.589	1	0:00:00.140098
171	tensor([7])	7	0.0042	1	0:00:00.152199
172	tensor([2])	2	0.616	1	0:00:00.138657
173	tensor([3])	3	0.616	1	0:00:00.150403
174	tensor([2])	2	0.589	1	0:00:00.137963
175	tensor([7])	7	0.298	1	0:00:00.144337
176	tensor([1])	1	0.616	1	0:00:00.133062
177	tensor([8])	8	0.589	1	0:00:00.134580
178	tensor([1])	-1	0.0	0	0:00:00.133448
179	tensor([8])	8	0.14	1	0:00:00.127131
180	tensor([1])	1	0.616	1	0:00:00.102251
181	tensor([8])	8	0.589	1	0:00:00.103636
182	tensor([5])	5	0.616	1	0:00:00.100461
183	tensor([0])	0	0.616	1	0:00:00.101783
184	tensor([8])	8	0.0515	1	0:00:00.101977
185	tensor([9])	9	0.0321	1	0:00:00.102223
186	tensor([2])	2	0.616	1	0:00:00.101061
187	tensor([5])	5	0.616	1	0:00:00.100152
188	tensor([0])	0	0.616	1	0:00:00.101090
189	tensor([1])	-1	0.0	0	0:00:00.102050
190	tensor([1])	1	0.326	1	0:00:00.101738
191	tensor([1])	1	0.616	1	0:00:00.101438
192	tensor([0])	0	0.419	1	0:00:00.099500
193	tensor([9])	9	0.356	1	0:00:00.100574
194	tensor([0])	0	0.616	1	0:00:00.102030
195	tensor([3])	-1	0.0	0	0:00:00.102613
196	tensor([1])	8	0.0554	0	0:00:00.101007
197	tensor([6])	6	0.616	1	0:00:00.100523
198	tensor([4])	4	0.0883	1	0:00:00.101214
199	tensor([2])	2	0.616	1	0:00:00.101543
200	tensor([3])	-1	0.0	0	0:00:00.102377
201	tensor([6])	6	0.326	1	0:00:00.099727
202	tensor([1])	-1	0.0	0	0:00:00.103126
203	tensor([1])	1	0.616	1	0:00:00.100603
204	tensor([1])	-1	0.0	0	0:00:00.099992
205	tensor([3])	3	0.589	1	0:00:00.104431
206	tensor([9])	9	0.616	1	0:00:00.099047
207	tensor([5])	5	0.616	1	0:00:00.099711
208	tensor([2])	2	0.616	1	0:00:00.099145
209	tensor([9])	9	0.589	1	0:00:00.140375
210	tensor([4])	8	0.524	0	0:00:00.159057
211	tensor([5])	5	0.544	1	0:00:00.138762
212	tensor([9])	9	0.589	1	0:00:00.154258
213	tensor([3])	3	0.616	1	0:00:00.138017
214	tensor([9])	8	0.292	0	0:00:00.136321
215	tensor([0])	-1	0.0	0	0:00:00.137503
216	tensor([3])	3	0.616	1	0:00:00.155485
217	tensor([6])	6	0.0042	1	0:00:00.141121
218	tensor([5])	5	0.616	1	0:00:00.157077
219	tensor([5])	5	0.616	1	0:00:00.150541
220	tensor([7])	-1	0.0	0	0:00:00.140981
221	tensor([2])	3	0.239	0	0:00:00.137995
222	tensor([2])	8	0.00231	0	0:00:00.124002
223	tensor([7])	7	0.616	1	0:00:00.101708
224	tensor([1])	8	0.453	0	0:00:00.101434
225	tensor([2])	2	0.616	1	0:00:00.101321
226	tensor([8])	8	0.616	1	0:00:00.099634
227	tensor([4])	-1	0.0	0	0:00:00.099295
228	tensor([1])	8	0.242	0	0:00:00.101071
229	tensor([7])	7	0.616	1	0:00:00.099376
230	tensor([3])	8	0.373	0	0:00:00.100145
231	tensor([3])	8	0.0238	0	0:00:00.101121
232	tensor([8])	8	0.462	1	0:00:00.099363
233	tensor([8])	8	0.393	1	0:00:00.100308
234	tensor([7])	7	0.462	1	0:00:00.100090
235	tensor([9])	9	0.616	1	0:00:00.099894
236	tensor([2])	2	0.253	1	0:00:00.099990
237	tensor([2])	2	0.616	1	0:00:00.099738
238	tensor([4])	4	0.348	1	0:00:00.100709
239	tensor([1])	-1	0.0	0	0:00:00.100197
240	tensor([5])	5	0.589	1	0:00:00.101351
241	tensor([9])	3	0.00231	0	0:00:00.103095
242	tensor([8])	8	0.616	1	0:00:00.101665
243	tensor([7])	8	0.501	0	0:00:00.102543
244	tensor([2])	2	0.589	1	0:00:00.101151
245	tensor([3])	8	0.149	0	0:00:00.101386
246	tensor([0])	0	0.616	1	0:00:00.100861
247	tensor([4])	4	0.00735	1	0:00:00.103441
248	tensor([4])	4	0.616	1	0:00:00.100677
249	tensor([2])	2	0.616	1	0:00:00.100703
250	tensor([4])	8	0.319	0	0:00:00.100147
251	tensor([1])	-1	0.0	0	0:00:00.104403
252	tensor([9])	9	0.616	1	0:00:00.140672
253	tensor([5])	5	0.616	1	0:00:00.145161
254	tensor([7])	7	0.589	1	0:00:00.152237
255	tensor([7])	7	0.616	1	0:00:00.134378
256	tensor([2])	8	0.245	0	0:00:00.165675
257	tensor([8])	-1	0.0	0	0:00:00.138542
258	tensor([2])	2	0.482	1	0:00:00.145415
259	tensor([6])	5	0.171	0	0:00:00.141090
260	tensor([8])	8	0.571	1	0:00:00.146029
261	tensor([5])	5	0.495	1	0:00:00.141247
262	tensor([7])	7	0.616	1	0:00:00.141016
263	tensor([7])	7	0.616	1	0:00:00.151735
264	tensor([9])	8	0.616	0	0:00:00.140578
265	tensor([1])	1	0.272	1	0:00:00.111063
266	tensor([8])	8	0.388	1	0:00:00.101789
267	tensor([1])	0	0.616	0	0:00:00.101953
268	tensor([8])	8	0.557	1	0:00:00.099657
269	tensor([0])	8	0.0476	0	0:00:00.098704
270	tensor([3])	3	0.616	1	0:00:00.099922
271	tensor([0])	0	0.616	1	0:00:00.100068
272	tensor([1])	1	0.472	1	0:00:00.099169
273	tensor([9])	9	0.472	1	0:00:00.101296
274	tensor([9])	9	0.589	1	0:00:00.098360
275	tensor([4])	4	0.589	1	0:00:00.099729
276	tensor([1])	0	0.508	0	0:00:00.102615
277	tensor([8])	8	0.616	1	0:00:00.098748
278	tensor([2])	2	0.407	1	0:00:00.101365
279	tensor([1])	8	0.207	0	0:00:00.099541
280	tensor([2])	2	0.616	1	0:00:00.098892
281	tensor([9])	9	0.616	1	0:00:00.100501
282	tensor([7])	8	0.0973	0	0:00:00.099860
283	tensor([5])	8	0.254	0	0:00:00.100053
284	tensor([9])	9	0.557	1	0:00:00.100820
285	tensor([2])	2	0.616	1	0:00:00.100420
286	tensor([6])	8	0.124	0	0:00:00.098628
287	tensor([4])	3	0.0437	0	0:00:00.100091
288	tensor([1])	8	0.544	0	0:00:00.099604
289	tensor([5])	5	0.616	1	0:00:00.101411
290	tensor([8])	8	0.307	1	0:00:00.100142
291	tensor([2])	2	0.616	1	0:00:00.099436
292	tensor([9])	8	0.0124	0	0:00:00.098447
293	tensor([2])	2	0.616	1	0:00:00.100571
294	tensor([0])	0	0.589	1	0:00:00.109534
295	tensor([4])	4	0.482	1	0:00:00.141848
296	tensor([0])	0	0.616	1	0:00:00.140469
297	tensor([0])	0	0.616	1	0:00:00.152024
298	tensor([2])	2	0.315	1	0:00:00.155748
299	tensor([8])	8	0.571	1	0:00:00.137110
300	tensor([4])	4	0.616	1	0:00:00.139519
301	tensor([7])	7	0.161	1	0:00:00.155753
302	tensor([1])	-1	0.0	0	0:00:00.150060
303	tensor([2])	2	0.589	1	0:00:00.144483
304	tensor([4])	4	0.616	1	0:00:00.142035
305	tensor([0])	0	0.589	1	0:00:00.154850
306	tensor([2])	8	0.371	0	0:00:00.137824
307	tensor([7])	7	0.0257	1	0:00:00.141763
308	tensor([4])	8	0.616	0	0:00:00.108253
309	tensor([3])	3	0.24	1	0:00:00.103557
310	tensor([3])	3	0.616	1	0:00:00.100928
311	tensor([0])	0	0.616	1	0:00:00.101147
312	tensor([0])	0	0.589	1	0:00:00.100549
313	tensor([3])	8	0.00798	0	0:00:00.100993
314	tensor([1])	0	0.199	0	0:00:00.101378
315	tensor([9])	9	0.616	1	0:00:00.102198
316	tensor([6])	8	0.0828	0	0:00:00.101718
317	tensor([5])	5	0.616	1	0:00:00.101057
318	tensor([2])	3	0.105	0	0:00:00.102512
319	tensor([5])	5	0.616	1	0:00:00.100206
320	tensor([9])	8	0.589	0	0:00:00.102411
321	tensor([2])	8	0.616	0	0:00:00.100833
322	tensor([9])	-1	0.0	0	0:00:00.101665
323	tensor([3])	3	0.616	1	0:00:00.100316
324	tensor([0])	8	0.0289	0	0:00:00.101196
325	tensor([4])	4	0.589	1	0:00:00.102444
326	tensor([2])	2	0.342	1	0:00:00.101001
327	tensor([0])	0	0.589	1	0:00:00.101904
328	tensor([7])	7	0.616	1	0:00:00.102251
329	tensor([1])	1	0.136	1	0:00:00.102479
330	tensor([1])	8	0.449	0	0:00:00.101126
331	tensor([2])	2	0.616	1	0:00:00.101825
332	tensor([1])	0	0.254	0	0:00:00.101065
333	tensor([5])	8	0.501	0	0:00:00.102368
334	tensor([3])	3	0.616	1	0:00:00.100316
335	tensor([3])	3	0.423	1	0:00:00.099947
336	tensor([9])	-1	0.0	0	0:00:00.102366
337	tensor([7])	7	0.616	1	0:00:00.120509
338	tensor([8])	8	0.534	1	0:00:00.150325
339	tensor([6])	6	0.616	1	0:00:00.134567
340	tensor([5])	-1	0.0	0	0:00:00.144169
341	tensor([6])	6	0.0225	1	0:00:00.145278
342	tensor([1])	1	0.0175	1	0:00:00.135974
343	tensor([3])	3	0.188	1	0:00:00.138528
344	tensor([8])	8	0.571	1	0:00:00.140460
345	tensor([1])	1	0.472	1	0:00:00.146860
346	tensor([0])	0	0.534	1	0:00:00.131805
347	tensor([5])	5	0.589	1	0:00:00.146715
348	tensor([1])	1	0.616	1	0:00:00.137736
349	tensor([3])	3	0.557	1	0:00:00.135483
350	tensor([1])	8	0.304	0	0:00:00.138745
351	tensor([5])	5	0.616	1	0:00:00.110908
352	tensor([5])	5	0.324	1	0:00:00.103249
353	tensor([6])	6	0.616	1	0:00:00.100590
354	tensor([1])	8	0.41	0	0:00:00.100963
355	tensor([8])	8	0.616	1	0:00:00.100326
356	tensor([5])	5	0.557	1	0:00:00.100896
357	tensor([1])	-1	0.0	0	0:00:00.103055
358	tensor([7])	7	0.2	1	0:00:00.100830
359	tensor([9])	9	0.188	1	0:00:00.101465
360	tensor([4])	-1	0.0	0	0:00:00.101346
361	tensor([6])	6	0.453	1	0:00:00.100025
362	tensor([2])	2	0.557	1	0:00:00.102962
363	tensor([2])	2	0.616	1	0:00:00.100594
364	tensor([5])	5	0.616	1	0:00:00.099784
365	tensor([0])	0	0.589	1	0:00:00.098652
366	tensor([6])	6	0.294	1	0:00:00.101363
367	tensor([5])	5	0.125	1	0:00:00.100356
368	tensor([6])	8	0.238	0	0:00:00.101406
369	tensor([3])	3	0.462	1	0:00:00.100223
370	tensor([7])	7	0.488	1	0:00:00.098693
371	tensor([2])	2	0.616	1	0:00:00.099240
372	tensor([0])	0	0.0869	1	0:00:00.099341
373	tensor([8])	8	0.501	1	0:00:00.101402
374	tensor([8])	8	0.616	1	0:00:00.099399
375	tensor([5])	5	0.616	1	0:00:00.100265
376	tensor([4])	9	0.0404	0	0:00:00.101669
377	tensor([1])	1	0.616	1	0:00:00.100676
378	tensor([1])	0	0.616	0	0:00:00.098639
379	tensor([4])	-1	0.0	0	0:00:00.100993
380	tensor([0])	8	0.323	0	0:00:00.112822
381	tensor([3])	3	0.413	1	0:00:00.143865
382	tensor([3])	3	0.616	1	0:00:00.164060
383	tensor([7])	7	0.508	1	0:00:00.153600
384	tensor([6])	6	0.616	1	0:00:00.160705
385	tensor([1])	-1	0.0	0	0:00:00.136720
386	tensor([6])	6	0.616	1	0:00:00.153315
387	tensor([2])	2	0.616	1	0:00:00.140439
388	tensor([1])	0	0.174	0	0:00:00.142197
389	tensor([9])	9	0.616	1	0:00:00.137391
390	tensor([2])	8	0.285	0	0:00:00.146851
391	tensor([8])	8	0.557	1	0:00:00.135521
392	tensor([6])	6	0.616	1	0:00:00.133527
393	tensor([1])	4	0.231	0	0:00:00.134399
394	tensor([9])	9	0.589	1	0:00:00.109226
395	tensor([5])	5	0.616	1	0:00:00.103086
396	tensor([2])	2	0.616	1	0:00:00.100669
397	tensor([5])	8	0.142	0	0:00:00.101059
398	tensor([4])	4	0.571	1	0:00:00.101913
399	tensor([4])	4	0.616	1	0:00:00.100811
400	tensor([2])	9	0.00294	0	0:00:00.098914
401	tensor([8])	8	0.616	1	0:00:00.099777
402	tensor([3])	3	0.152	1	0:00:00.103728
403	tensor([8])	9	0.155	0	0:00:00.099364
404	tensor([2])	2	0.348	1	0:00:00.100145
405	tensor([4])	4	0.557	1	0:00:00.101405
406	tensor([5])	8	0.212	0	0:00:00.100609
407	tensor([0])	8	0.407	0	0:00:00.099645
408	tensor([3])	-1	0.0	0	0:00:00.100560
409	tensor([1])	8	0.557	0	0:00:00.100601
410	tensor([7])	7	0.616	1	0:00:00.101318
411	tensor([7])	7	0.616	1	0:00:00.098897
412	tensor([5])	5	0.121	1	0:00:00.099173
413	tensor([7])	8	0.407	0	0:00:00.100467
414	tensor([9])	9	0.203	1	0:00:00.100666
415	tensor([7])	7	0.616	1	0:00:00.101282
416	tensor([1])	1	0.0283	1	0:00:00.099731
417	tensor([9])	9	0.616	1	0:00:00.099520
418	tensor([2])	8	0.616	0	0:00:00.099168
419	tensor([1])	1	0.616	1	0:00:00.100979
420	tensor([4])	4	0.144	1	0:00:00.100493
421	tensor([2])	2	0.197	1	0:00:00.101424
422	tensor([9])	8	0.284	0	0:00:00.099016
423	tensor([2])	2	0.616	1	0:00:00.113639
424	tensor([0])	0	0.467	1	0:00:00.151299
425	tensor([4])	4	0.616	1	0:00:00.137354
426	tensor([9])	9	0.508	1	0:00:00.142560
427	tensor([1])	1	0.544	1	0:00:00.141836
428	tensor([4])	4	0.258	1	0:00:00.136945
429	tensor([8])	8	0.616	1	0:00:00.135350
430	tensor([1])	0	0.616	0	0:00:00.139814
431	tensor([8])	8	0.616	1	0:00:00.140206
432	tensor([4])	4	0.111	1	0:00:00.136058
433	tensor([5])	5	0.495	1	0:00:00.148708
434	tensor([9])	9	0.589	1	0:00:00.160002
435	tensor([8])	8	0.289	1	0:00:00.141867
436	tensor([8])	8	0.589	1	0:00:00.137545
437	tensor([3])	3	0.28	1	0:00:00.110874
438	tensor([7])	-1	0.0	0	0:00:00.101824
439	tensor([6])	6	0.616	1	0:00:00.100463
440	tensor([0])	0	0.616	1	0:00:00.100789
441	tensor([0])	0	0.616	1	0:00:00.101690
442	tensor([3])	3	0.557	1	0:00:00.100446
443	tensor([0])	0	0.273	1	0:00:00.101453
444	tensor([2])	8	0.068	0	0:00:00.099403
445	tensor([6])	5	0.337	0	0:00:00.099900
446	tensor([6])	0	0.616	0	0:00:00.099065
447	tensor([4])	4	0.0502	1	0:00:00.101068
448	tensor([9])	-1	0.0	0	0:00:00.101552
449	tensor([3])	-1	0.0	0	0:00:00.100179
450	tensor([3])	3	0.589	1	0:00:00.098884
451	tensor([3])	3	0.616	1	0:00:00.099730
452	tensor([2])	2	0.616	1	0:00:00.100333
453	tensor([3])	3	0.616	1	0:00:00.100598
454	tensor([9])	9	0.616	1	0:00:00.099852
455	tensor([1])	1	0.534	1	0:00:00.100153
456	tensor([2])	2	0.407	1	0:00:00.098562
457	tensor([6])	6	0.477	1	0:00:00.100194
458	tensor([8])	8	0.275	1	0:00:00.101643
459	tensor([0])	0	0.557	1	0:00:00.098295
460	tensor([5])	5	0.571	1	0:00:00.099640
461	tensor([6])	6	0.0726	1	0:00:00.099640
462	tensor([6])	5	0.0841	0	0:00:00.099490
463	tensor([6])	6	0.616	1	0:00:00.101485
464	tensor([3])	8	0.0987	0	0:00:00.100004
465	tensor([8])	8	0.488	1	0:00:00.098529
466	tensor([8])	8	0.557	1	0:00:00.117669
467	tensor([2])	8	0.404	0	0:00:00.136507
468	tensor([7])	8	0.348	0	0:00:00.147399
469	tensor([5])	5	0.233	1	0:00:00.144749
470	tensor([8])	8	0.616	1	0:00:00.133772
471	tensor([9])	9	0.616	1	0:00:00.151019
472	tensor([6])	-1	0.0	0	0:00:00.152003
473	tensor([1])	1	0.616	1	0:00:00.136364
474	tensor([8])	8	0.616	1	0:00:00.138182
475	tensor([4])	4	0.616	1	0:00:00.151031
476	tensor([1])	1	0.557	1	0:00:00.131447
477	tensor([2])	2	0.482	1	0:00:00.138555
478	tensor([5])	5	0.449	1	0:00:00.136550
479	tensor([9])	8	0.0607	0	0:00:00.172265
480	tensor([1])	1	0.544	1	0:00:00.113194
481	tensor([9])	9	0.616	1	0:00:00.102997
482	tensor([7])	7	0.616	1	0:00:00.102541
483	tensor([5])	5	0.467	1	0:00:00.100722
484	tensor([4])	8	0.516	0	0:00:00.102183
485	tensor([0])	0	0.616	1	0:00:00.099393
486	tensor([8])	8	0.0821	1	0:00:00.099676
487	tensor([9])	9	0.616	1	0:00:00.100032
488	tensor([9])	9	0.616	1	0:00:00.100562
489	tensor([1])	1	0.616	1	0:00:00.100732
490	tensor([0])	-1	0.0	0	0:00:00.100015
491	tensor([5])	8	0.501	0	0:00:00.100448
492	tensor([2])	8	0.288	0	0:00:00.099527
493	tensor([3])	3	0.508	1	0:00:00.100590
494	tensor([7])	7	0.616	1	0:00:00.099425
495	tensor([8])	8	0.192	1	0:00:00.101758
496	tensor([9])	8	0.214	0	0:00:00.100905
497	tensor([4])	-1	0.0	0	0:00:00.100416
498	tensor([0])	-1	0.0	0	0:00:00.099682
499	tensor([6])	8	0.508	0	0:00:00.100052
500	tensor([3])	3	0.616	1	0:00:00.101338
501	tensor([9])	9	0.172	1	0:00:00.101948
502	tensor([5])	5	0.616	1	0:00:00.102795
503	tensor([2])	2	0.616	1	0:00:00.099521
504	tensor([1])	8	0.373	0	0:00:00.099808
505	tensor([3])	3	0.616	1	0:00:00.101597
506	tensor([1])	8	0.508	0	0:00:00.102880
507	tensor([3])	3	0.571	1	0:00:00.100869
508	tensor([6])	8	0.375	0	0:00:00.099640
509	tensor([5])	5	0.39	1	0:00:00.124204
510	tensor([7])	9	0.236	0	0:00:00.156262
511	tensor([4])	4	0.21	1	0:00:00.132997
512	tensor([2])	2	0.616	1	0:00:00.140393
513	tensor([2])	2	0.616	1	0:00:00.143116
514	tensor([6])	6	0.383	1	0:00:00.138548
515	tensor([3])	3	0.074	1	0:00:00.147260
516	tensor([2])	2	0.616	1	0:00:00.136136
517	tensor([6])	6	0.616	1	0:00:00.158281
518	tensor([5])	5	0.616	1	0:00:00.146446
519	tensor([4])	4	0.315	1	0:00:00.149929
520	tensor([8])	8	0.616	1	0:00:00.139366
521	tensor([9])	9	0.589	1	0:00:00.154093
522	tensor([7])	8	0.23	0	0:00:00.141252
523	tensor([1])	8	0.616	0	0:00:00.105394
524	tensor([3])	8	0.375	0	0:00:00.103355
525	tensor([0])	0	0.616	1	0:00:00.100609
526	tensor([3])	3	0.126	1	0:00:00.102371
527	tensor([8])	8	0.616	1	0:00:00.099768
528	tensor([3])	3	0.0181	1	0:00:00.100162
529	tensor([1])	8	0.616	0	0:00:00.102318
530	tensor([9])	9	0.429	1	0:00:00.098996
531	tensor([3])	3	0.616	1	0:00:00.101489
532	tensor([4])	4	0.182	1	0:00:00.101451
533	tensor([4])	8	0.0302	0	0:00:00.100498
